A,Z,,,,
150,58,150Ce,139629.644,1230.142,8.201
150,59,150Pr,139625.649,1232.844,8.219
150,60,150Nd,139619.752,1237.448,8.25
150,61,150Pm,139619.328,1236.578,8.244
150,62,150Sm,139615.363,1239.25,8.262
150,63,150Eu,139617.112,1236.208,8.241
150,64,150Gd,139615.629,1236.397,8.243
150,65,150Tb,139619.776,1230.957,8.206
150,66,150Dy,139621.059,1228.381,8.189
150,67,150Ho,139627.917,1220.229,8.135
150,68,150Er,139631.521,1215.332,8.102
151,58,151Ce,140564.458,1234.894,8.178
151,59,151Pr,140558.676,1239.382,8.208
151,60,151Nd,140553.983,1242.782,8.23
151,61,151Pm,140551.03,1244.442,8.241
151,62,151Sm,140549.332,1244.847,8.244
151,63,151Eu,140548.744,1244.141,8.239
151,64,151Gd,140548.697,1242.895,8.231
151,65,151Tb,140550.751,1239.547,8.209
151,66,151Dy,140553.111,1235.894,8.185
151,67,151Ho,140557.727,1229.985,8.146
151,68,151Er,140562.582,1223.836,8.105
151,69,151Tm,140569.555,1215.57,8.05
151,70,151Yb,140578.286,1205.546,7.984
152,59,152Pr,141493.131,1244.493,8.187
152,60,152Nd,141486.272,1250.058,8.224
152,61,152Pm,141484.657,1250.38,8.226
152,62,152Sm,141480.639,1253.104,8.244
152,63,152Eu,141482.003,1250.448,8.227
152,64,152Gd,141479.672,1251.485,8.233
152,65,152Tb,141483.155,1246.709,8.202
152,66,152Dy,141483.24,1245.33,8.193
152,67,152Ho,141489.245,1238.032,8.145
152,68,152Er,141491.842,1234.142,8.119
152,69,152Tm,141500.061,1224.629,8.057
152,70,152Yb,141505.01,1218.387,8.016
153,59,153Pr,142426.805,1250.384,8.172
153,60,153Nd,142420.575,1255.321,8.205
153,61,153Pm,142416.728,1257.874,8.221
153,62,153Sm,142414.336,1258.973,8.229
153,63,153Eu,142413.018,1258.998,8.229
153,64,153Gd,142412.99,1257.732,8.22
153,65,153Tb,142414.049,1255.38,8.205
153,66,153Dy,142415.708,1252.428,8.186
153,67,153Ho,142419.328,1247.514,8.154
153,68,153Er,142423.348,1242.201,8.119
153,69,153Tm,142429.31,1234.946,8.072
153,71,153Lu,142443.893,1217.776,7.959
154,59,154Pr,143361.729,1255.025,8.15
154,60,154Nd,143353.728,1261.733,8.193
154,61,154Pm,143350.407,1263.76,8.206
154,62,154Sm,143345.934,1266.94,8.227
154,63,154Eu,143346.141,1265.44,8.217
154,64,154Gd,143343.661,1266.627,8.225
154,65,154Tb,143346.703,1262.291,8.197
154,66,154Dy,143345.954,1261.747,8.193
154,67,154Ho,143351.197,1255.211,8.151
154,68,154Er,143352.718,1252.396,8.132
154,69,154Tm,143360.39,1243.431,8.074
154,70,154Yb,143364.374,1238.154,8.04
155,61,155Pm,144283.431,1270.302,8.195
155,62,155Sm,144279.693,1272.747,8.211
155,63,155Eu,144277.555,1273.592,8.217
155,64,155Gd,144276.791,1273.062,8.213
155,65,155Tb,144277.103,1271.456,8.203
155,66,155Dy,144278.686,1268.58,8.184
155,67,155Ho,144281.295,1264.678,8.159
155,68,155Er,144284.609,1260.07,8.129
155,69,155Tm,144289.678,1253.708,8.088
155,70,155Yb,144295.299,1246.794,8.044
155,71,155Lu,144302.737,1238.062,7.987
156,60,156Nd,145221.876,1272.715,8.158
156,61,156Pm,145217.675,1275.623,8.177
156,62,156Sm,145212.014,1279.991,8.205
156,63,156Eu,145210.78,1279.931,8.205
156,64,156Gd,145207.82,1281.598,8.215
156,65,156Tb,145209.753,1278.372,8.195
156,66,156Dy,145208.81,1278.021,8.192
156,67,156Ho,145213.479,1272.059,8.154
156,68,156Er,145214.105,1270.14,8.142
156,69,156Tm,145220.967,1261.984,8.09
156,70,156Yb,145224.032,1257.626,8.062
156,71,156Lu,145233.035,1247.33,7.996
156,72,156Hf,145238.424,1240.647,7.953
157,61,157Pm,146151.019,1281.844,8.165
157,62,157Sm,146146.148,1285.422,8.187
157,63,157Eu,146142.9,1287.377,8.2
157,64,157Gd,146141.025,1287.958,8.204
157,65,157Tb,146140.575,1287.116,8.198
157,66,157Dy,146141.406,1284.991,8.185
157,67,157Ho,146143.494,1281.609,8.163
157,68,157Er,146146.392,1277.418,8.136
157,69,157Tm,146150.592,1271.925,8.101
157,70,157Yb,146155.348,1265.875,8.063
157,71,157Lu,146161.796,1258.134,8.014
157,73,157Ta,146177.627,1239.716,7.896
158,61,158Pm,147085.793,1286.636,8.143
158,62,158Sm,147079.162,1291.973,8.177
158,63,158Eu,147076.651,1293.191,8.185
158,64,158Gd,147072.653,1295.896,8.202
158,65,158Tb,147073.362,1293.894,8.189
158,66,158Dy,147071.916,1294.046,8.19
158,67,158Ho,147075.626,1289.043,8.158
158,68,158Er,147076.002,1287.373,8.148
158,69,158Tm,147082.092,1279.99,8.101
158,70,158Yb,147084.269,1276.52,8.079
158,71,158Lu,147092.559,1266.936,8.019
158,72,158Hf,147097.158,1261.044,7.981
159,62,159Sm,148013.656,1297.045,8.158
159,63,159Eu,148009.302,1300.105,8.177
159,64,159Gd,148006.276,1301.839,8.188
159,65,159Tb,148004.794,1302.027,8.189
159,66,159Dy,148004.649,1300.879,8.182
159,67,159Ho,148005.975,1298.259,8.165
159,68,159Er,148008.233,1294.708,8.143
159,69,159Tm,148011.719,1289.928,8.113
159,70,159Yb,148015.935,1284.419,8.078
159,71,159Lu,148021.557,1277.504,8.035
159,72,159Hf,148027.902,1269.865,7.987
159,73,159Ta,148035.797,1260.677,7.929
160,64,160Gd,148938.39,1309.29,8.183
160,65,160Tb,148937.984,1308.402,8.178
160,66,160Dy,148935.638,1309.455,8.184
160,67,160Ho,148938.417,1305.382,8.159
160,68,160Er,148938.236,1304.27,8.152
160,69,160Tm,148943.483,1297.73,8.111
160,70,160Yb,148945.102,1294.817,8.093
160,71,160Lu,148952.491,1286.135,8.038
160,72,160Hf,148956.313,1281.02,8.006
160,73,160Ta,148965.859,1270.18,7.939
160,74,160W,148971.868,1262.878,7.893
161,64,161Gd,149872.319,1314.925,8.167
161,65,161Tb,149869.853,1316.099,8.175
161,66,161Dy,149868.749,1315.909,8.173
161,67,161Ho,149869.096,1314.269,8.163
161,68,161Er,149870.579,1311.492,8.146
161,69,161Tm,149873.378,1307.4,8.12
161,70,161Yb,149876.922,1302.563,8.09
161,71,161Lu,149881.693,1296.498,8.053
161,72,161Hf,149887.425,1289.473,8.009
161,75,161Re,149911.331,1261.687,7.837
162,64,162Gd,150805.039,1321.771,8.159
162,65,162Tb,150803.135,1322.382,8.163
162,66,162Dy,150800.117,1324.106,8.173
162,67,162Ho,150801.746,1321.184,8.155
162,68,162Er,150800.939,1320.698,8.152
162,69,162Tm,150805.287,1315.056,8.118
162,70,162Yb,150806.428,1312.622,8.103
162,71,162Lu,150812.909,1304.848,8.055
162,72,162Hf,150816.065,1300.398,8.027
162,73,162Ta,150824.947,1290.223,7.964
162,74,162W,150830.214,1283.663,7.924
163,65,163Tb,151735.708,1329.374,8.156
163,66,163Dy,151733.412,1330.377,8.162
163,67,163Ho,151732.903,1329.592,8.157
163,68,163Er,151733.602,1327.6,8.145
163,69,163Tm,151735.53,1324.379,8.125
163,70,163Yb,151738.45,1320.165,8.099
163,71,163Lu,151742.452,1314.87,8.067
163,72,163Hf,151747.446,1308.583,8.028
163,73,163Ta,151753.681,1301.054,7.982
163,74,163W,151760.8,1292.642,7.93
163,75,163Re,151769.192,1282.957,7.871
164,65,164Tb,152669.723,1334.924,8.14
164,66,164Dy,152665.319,1338.035,8.159
164,67,164Ho,152665.794,1336.267,8.148
164,68,164Er,152664.32,1336.447,8.149
164,69,164Tm,152667.871,1331.603,8.12
164,70,164Yb,152668.225,1329.956,8.109
164,71,164Lu,152674.095,1322.792,8.066
164,72,164Hf,152676.404,1319.19,8.044
164,73,164Ta,152684.432,1309.869,7.987
164,74,164W,152688.97,1304.037,7.951
164,76,164Os,152705.722,1284.699,7.834
165,66,165Dy,153599.168,1343.751,8.144
165,67,165Ho,153597.371,1344.256,8.147
165,68,165Er,153597.236,1343.097,8.14
165,69,165Tm,153598.317,1340.722,8.126
165,70,165Yb,153600.455,1337.291,8.105
165,71,165Lu,153603.789,1332.664,8.077
165,72,165Hf,153608.084,1327.075,8.043
165,73,165Ta,153613.354,1320.512,8.003
165,74,165W,153619.836,1312.737,7.956
165,75,165Re,153627.53,1303.749,7.902
166,65,166Tb,154537.031,1346.747,8.113
166,66,166Dy,154531.69,1350.795,8.137
166,67,166Ho,154530.692,1350.499,8.136
166,68,166Er,154528.327,1351.572,8.142
166,69,166Tm,154530.853,1347.752,8.119
166,70,166Yb,154530.648,1346.663,8.112
166,71,166Lu,154535.704,1340.314,8.074
166,72,166Hf,154537.355,1337.37,8.056
166,73,166Ta,154544.605,1328.826,8.005
166,74,166W,154548.3,1323.838,7.975
166,76,166Os,154563.732,1305.819,7.866
167,66,167Dy,155465.834,1356.216,8.121
167,67,167Ho,155462.976,1357.781,8.13
167,68,167Er,155461.456,1358.008,8.132
167,69,167Tm,155461.693,1356.477,8.123
167,70,167Yb,155463.136,1353.741,8.106
167,71,167Lu,155465.719,1349.864,8.083
167,72,167Hf,155469.24,1345.05,8.054
167,73,167Ta,155473.846,1339.151,8.019
167,74,167W,155479.597,1332.106,7.977
167,76,167Os,155494.164,1314.953,7.874
167,77,167Ir,155503.074,1304.749,7.813
168,66,168Dy,156398.708,1362.907,8.113
168,67,168Ho,156396.687,1363.635,8.117
168,68,168Er,156393.25,1365.779,8.13
168,69,168Tm,156394.418,1363.318,8.115
168,70,168Yb,156393.649,1362.793,8.112
168,71,168Lu,156397.653,1357.496,8.08
168,72,168Hf,156398.841,1355.014,8.066
168,73,168Ta,156405.297,1347.265,8.019
168,74,168W,156408.29,1342.979,7.994
168,75,168Re,156416.879,1333.096,7.935
168,76,168Os,156422.167,1326.515,7.896
168,78,168Pt,156440.096,1305.999,7.774
169,66,169Dy,157333.162,1368.019,8.095
169,67,169Ho,157329.448,1370.439,8.109
169,68,169Er,157326.812,1371.783,8.117
169,69,169Tm,157325.949,1371.352,8.115
169,70,169Yb,157326.348,1369.659,8.104
169,71,169Lu,157328.13,1366.584,8.086
169,72,169Hf,157330.979,1362.442,8.062
169,73,169Ta,157334.895,1357.232,8.031
169,74,169W,157339.756,1351.078,7.995
169,75,169Re,157345.777,1343.764,7.951
169,76,169Os,157352.931,1335.316,7.901
169,77,169Ir,157361.06,1325.894,7.846
170,67,170Ho,158263.505,1375.948,8.094
170,68,170Er,158259.12,1379.04,8.112
170,69,170Tm,158258.923,1377.944,8.106
170,70,170Yb,158257.443,1378.13,8.107
170,71,170Lu,158260.391,1373.888,8.082
170,72,170Hf,158260.936,1372.05,8.071
170,73,170Ta,158266.541,1365.152,8.03
170,74,170W,158268.875,1361.524,8.009
170,75,170Re,158276.739,1352.367,7.955
170,76,170Os,158281.218,1346.595,7.921
170,78,170Pt,158297.818,1327.408,7.808
171,67,171Ho,159196.719,1382.299,8.084
171,68,171Er,159193.003,1384.721,8.098
171,69,171Tm,159191.002,1385.43,8.102
171,70,171Yb,159190.394,1384.744,8.098
171,71,171Lu,159191.362,1382.483,8.085
171,72,171Hf,159193.253,1379.298,8.066
171,73,171Ta,159196.453,1374.805,8.04
171,74,171W,159200.576,1369.389,8.008
171,75,171Re,159205.901,1362.77,7.969
171,76,171Os,159212.347,1355.031,7.924
171,77,171Ir,159219.699,1346.386,7.874
171,78,171Pt,159228.148,1336.643,7.817
171,79,171Au,159237.542,1325.956,7.754
172,68,172Er,160125.733,1391.557,8.09
172,69,172Tm,160124.331,1391.666,8.091
172,70,172Yb,160121.94,1392.764,8.097
172,71,172Lu,160123.948,1389.462,8.078
172,72,172Hf,160123.774,1388.343,8.072
172,73,172Ta,160128.337,1382.486,8.038
172,74,172W,160130.059,1379.471,8.02
172,75,172Re,160137.125,1371.112,7.972
172,76,172Os,160140.896,1366.047,7.942
172,78,172Pt,160156.011,1348.346,7.839
172,80,172Hg,160175,1326.77,7.714
173,69,173Tm,161056.946,1398.616,8.084
173,70,173Yb,161055.138,1399.131,8.087
173,71,173Lu,161055.298,1397.678,8.079
173,72,173Hf,161056.26,1395.422,8.066
173,73,173Ta,161058.764,1391.625,8.044
173,74,173W,161061.923,1387.172,8.018
173,75,173Re,161066.585,1381.217,7.984
173,76,173Os,161072.19,1374.319,7.944
173,77,173Ir,161078.845,1366.37,7.898
173,78,173Pt,161086.666,1357.256,7.845
173,79,173Au,161095.275,1347.354,7.788
174,69,174Tm,161990.829,1404.298,8.071
174,70,174Yb,161987.239,1406.595,8.084
174,71,174Lu,161988.102,1404.439,8.071
174,72,174Hf,161987.32,1403.928,8.069
174,73,174Ta,161990.914,1399.04,8.04
174,74,174W,161991.917,1396.744,8.027
174,75,174Re,161997.96,1389.407,7.985
174,76,174Os,162001.126,1384.948,7.959
174,77,174Ir,162009.742,1375.039,7.903
174,78,174Pt,162014.781,1368.706,7.866
174,80,174Hg,162032.431,1348.47,7.75
175,69,175Tm,162923.873,1410.819,8.062
175,70,175Yb,162920.982,1412.418,8.071
175,71,175Lu,162920.001,1412.106,8.069
175,72,175Hf,162920.177,1410.636,8.061
175,73,175Ta,162921.74,1407.779,8.044
175,74,175W,162924.005,1404.221,8.024
175,75,175Re,162927.839,1399.093,7.995
175,76,175Os,162932.511,1393.128,7.961
175,77,175Ir,162938.676,1385.67,7.918
175,78,175Pt,162945.904,1377.148,7.869
175,79,175Au,162953.643,1368.116,7.818
175,80,175Hg,162962.582,1357.884,7.759
176,69,176Tm,163858.317,1415.941,8.045
176,70,176Yb,163853.682,1419.283,8.064
176,71,176Lu,163853.278,1418.394,8.059
176,72,176Hf,163851.577,1418.801,8.061
176,73,176Ta,163854.273,1414.811,8.039
176,74,176W,163854.49,1413.301,8.03
176,75,176Re,163859.558,1406.94,7.994
176,76,176Os,163862.012,1403.192,7.973
176,77,176Ir,163869.738,1394.173,7.921
176,78,176Pt,163874.16,1388.458,7.889
176,80,176Hg,163890.287,1369.744,7.783
177,70,177Yb,164787.681,1424.849,8.05
177,71,177Lu,164785.77,1425.466,8.053
177,72,177Hf,164784.759,1425.185,8.052
177,73,177Ta,164785.413,1423.237,8.041
177,74,177W,164786.924,1420.432,8.025
177,75,177Re,164789.846,1416.217,8.001
177,76,177Os,164793.654,1411.116,7.972
177,77,177Ir,164799.046,1404.43,7.935
177,78,177Pt,164805.212,1396.971,7.892
177,79,177Au,164812.521,1388.369,7.844
177,80,177Hg,164820.78,1378.816,7.79
177,81,177Tl,164829.721,1368.582,7.732
178,70,178Yb,165720.466,1431.629,8.043
178,71,178Lu,165719.31,1431.492,8.042
178,72,178Hf,165716.698,1432.811,8.049
178,73,178Ta,165718.124,1430.091,8.034
178,74,178W,165717.704,1429.218,8.029
178,75,178Re,165721.956,1423.672,7.998
178,76,178Os,165723.552,1420.783,7.982
178,77,178Ir,165730.335,1412.707,7.937
178,78,178Pt,165734.078,1407.67,7.908
178,79,178Au,165743.235,1397.22,7.85
178,80,178Hg,165748.737,1390.425,7.811
178,82,178Pb,165767.6,1368.975,7.691
179,71,179Lu,166652.083,1438.284,8.035
179,72,179Hf,166650.165,1438.91,8.039
179,73,179Ta,166649.759,1438.022,8.034
179,74,179W,166650.31,1436.177,8.023
179,75,179Re,166652.517,1432.677,8.004
179,76,179Os,166655.572,1428.328,7.979
179,77,179Ir,166660.004,1422.603,7.948
179,78,179Pt,166665.306,1416.008,7.911
179,79,179Au,166672.107,1407.913,7.865
179,80,179Hg,166679.626,1399.101,7.816
179,81,179Tl,166687.737,1389.697,7.764
180,71,180Lu,167585.951,1443.981,8.022
180,72,180Hf,167582.342,1446.297,8.035
180,73,180Ta,167582.683,1444.663,8.026
180,74,180W,167581.464,1444.588,8.025
180,75,180Re,167584.757,1440.002,8
180,76,180Os,167585.727,1437.739,7.987
180,77,180Ir,167591.597,1430.575,7.948
180,78,180Pt,167594.628,1426.251,7.924
180,79,180Au,167602.957,1416.629,7.87
180,80,180Hg,167607.797,1410.495,7.836
180,82,180Pb,167625.081,1390.625,7.726
181,72,181Hf,168516.213,1451.992,8.022
181,73,181Ta,168514.672,1452.24,8.023
181,74,181W,168514.348,1451.27,8.018
181,75,181Re,168515.58,1448.744,8.004
181,76,181Os,168518.03,1445.001,7.983
181,77,181Ir,168521.597,1440.141,7.957
181,78,181Pt,168526.183,1434.261,7.924
181,79,181Au,168532.176,1426.975,7.884
181,80,181Hg,168538.875,1418.983,7.84
181,81,181Tl,168546.224,1410.34,7.792
181,82,181Pb,168555.374,1399.897,7.734
182,72,182Hf,169449.059,1458.711,8.015
182,73,182Ta,169448.174,1458.303,8.013
182,74,182W,169445.849,1459.335,8.018
182,75,182Re,169448.135,1455.755,7.999
182,76,182Os,169448.465,1454.131,7.99
182,77,182Ir,169453.511,1447.792,7.955
182,78,182Pt,169455.883,1444.127,7.935
182,79,182Au,169463.24,1435.476,7.887
182,80,182Hg,169467.454,1429.969,7.857
182,81,182Tl,169477.169,1418.961,7.796
182,82,182Pb,169483.182,1411.654,7.756
183,72,183Hf,170383.322,1464.013,8
183,73,183Ta,170380.805,1465.237,8.007
183,74,183W,170379.223,1465.525,8.008
183,75,183Re,170379.268,1464.187,8.001
183,76,183Os,170380.908,1461.254,7.985
183,77,183Ir,170383.86,1457.008,7.962
183,78,183Pt,170387.774,1451.801,7.933
183,79,183Au,170392.848,1445.434,7.899
183,80,183Hg,170398.724,1438.264,7.859
183,81,183Tl,170405.426,1430.269,7.816
183,82,183Pb,170413.933,1420.469,7.762
184,72,184Hf,171316.606,1470.294,7.991
184,73,184Ta,171314.754,1470.853,7.994
184,74,184W,171311.377,1472.937,8.005
184,75,184Re,171312.346,1470.674,7.993
184,76,184Os,171311.806,1469.921,7.989
184,77,184Ir,171315.94,1464.494,7.959
184,78,184Pt,171317.708,1461.432,7.943
184,79,184Au,171324.21,1453.637,7.9
184,80,184Hg,171327.669,1448.885,7.874
184,81,184Tl,171336.617,1438.643,7.819
184,82,184Pb,171341.951,1432.016,7.783
185,73,185Ta,172247.693,1477.479,7.986
185,74,185W,172245.189,1478.691,7.993
185,75,185Re,172244.245,1478.341,7.991
185,76,185Os,172244.747,1476.546,7.981
185,77,185Ir,172246.709,1473.29,7.964
185,78,185Pt,172249.854,1468.852,7.94
185,79,185Au,172254.156,1463.256,7.909
185,80,185Hg,172259.336,1456.783,7.875
185,81,185Tl,172265.241,1449.585,7.836
185,82,185Pb,172272.949,1440.583,7.787
186,73,186Ta,173181.973,1482.765,7.972
186,74,186W,173177.563,1485.882,7.989
186,75,186Re,173177.631,1484.52,7.981
186,76,186Os,173176.051,1484.807,7.983
186,77,186Ir,173179.367,1480.198,7.958
186,78,186Pt,173180.165,1478.107,7.947
186,79,186Au,173185.803,1471.176,7.91
186,80,186Hg,173188.468,1467.217,7.888
186,81,186Tl,173196.306,1458.086,7.839
186,82,186Pb,173201.304,1451.795,7.805
186,83,186Bi,173212.304,1439.501,7.739
187,74,187W,174111.662,1491.348,7.975
187,75,187Re,174109.84,1491.877,7.978
187,76,187Os,174109.326,1491.097,7.974
187,77,187Ir,174110.318,1488.813,7.962
187,78,187Pt,174112.81,1485.027,7.941
187,79,187Au,174116.007,1480.537,7.917
187,80,187Hg,174120.383,1474.868,7.887
187,81,187Tl,174125.546,1468.411,7.852
187,82,187Pb,174132.499,1460.165,7.808
187,83,187Bi,174140.595,1450.776,7.758
188,74,188W,175044.394,1498.182,7.969
188,75,188Re,175043.533,1497.749,7.967
188,76,188Os,175040.902,1499.087,7.974
188,77,188Ir,175043.2,1495.496,7.955
188,78,188Pt,175043.194,1494.209,7.948
188,79,188Au,175048.205,1487.904,7.914
188,80,188Hg,175049.793,1485.023,7.899
188,81,188Tl,175057.134,1476.389,7.853
188,82,188Pb,175061.158,1471.071,7.825
188,83,188Bi,175071.262,1459.674,7.764
188,84,188Po,175077.413,1452.23,7.725
189,74,189W,175979.075,1503.066,7.953
189,75,189Re,175976.066,1504.782,7.962
189,76,189Os,175974.547,1505.007,7.963
189,77,189Ir,175974.569,1503.692,7.956
189,78,189Pt,175976.028,1500.94,7.941
189,79,189Au,175978.418,1497.257,7.922
189,80,189Hg,175981.859,1492.522,7.897
189,81,189Tl,175986.376,1486.712,7.866
189,82,189Pb,175992.587,1479.208,7.826
189,83,189Bi,175999.896,1470.605,7.781
189,84,189Po,176008.03,1461.178,7.731
190,74,190W,176911.749,1509.958,7.947
190,75,190Re,176909.968,1510.445,7.95
190,76,190Os,176906.32,1512.799,7.962
190,77,190Ir,176907.764,1510.062,7.948
190,78,190Pt,176906.682,1509.851,7.947
190,79,190Au,176910.613,1504.627,7.919
190,80,190Hg,176911.613,1502.334,7.907
190,81,190Tl,176918.142,1494.511,7.866
190,82,190Pb,176921.544,1489.816,7.841
190,83,190Bi,176930.55,1479.517,7.787
190,84,190Po,176936.376,1472.397,7.749
191,75,191Re,177842.683,1517.296,7.944
191,76,191Os,177840.127,1518.558,7.951
191,77,191Ir,177839.303,1518.088,7.948
191,78,191Pt,177839.801,1516.298,7.939
191,79,191Au,177841.178,1513.627,7.925
191,80,191Hg,177843.884,1509.628,7.904
191,81,191Tl,177847.685,1504.534,7.877
191,82,191Pb,177853.205,1497.72,7.841
191,83,191Bi,177859.704,1489.928,7.801
191,84,191Po,177867.379,1480.96,7.754
192,76,192Os,178772.134,1526.116,7.949
192,77,192Ir,178772.67,1524.286,7.939
192,78,192Pt,178770.7,1524.964,7.943
192,79,192Au,178773.705,1520.666,7.92
192,80,192Hg,178773.96,1519.117,7.912
192,81,192Tl,178779.59,1512.194,7.876
192,82,192Pb,178782.393,1508.098,7.855
192,83,192Bi,178790.888,1498.309,7.804
192,84,192Po,178795.856,1492.048,7.771
193,76,193Os,179706.116,1531.699,7.936
193,77,193Ir,179704.464,1532.058,7.938
193,78,193Pt,179704.01,1531.219,7.934
193,79,193Au,179704.582,1529.354,7.924
193,80,193Hg,179706.414,1526.229,7.908
193,81,193Tl,179709.634,1521.715,7.885
193,82,193Pb,179714.253,1515.803,7.854
193,83,193Bi,179720.059,1508.704,7.817
193,84,193Po,179727.061,1500.408,7.774
193,85,193At,179734.76,1491.416,7.728
194,76,194Os,180638.57,1538.811,7.932
194,77,194Ir,180637.962,1538.125,7.928
194,78,194Pt,180635.218,1539.577,7.936
194,79,194Au,180637.208,1536.293,7.919
194,80,194Hg,180636.766,1535.442,7.915
194,81,194Tl,180641.618,1529.297,7.883
194,82,194Pb,180643.729,1525.892,7.865
194,83,194Bi,180651.436,1516.892,7.819
194,84,194Po,180655.91,1511.125,7.789
194,85,194At,180665.214,1500.527,7.735
195,76,195Os,181572.807,1544.139,7.919
195,77,195Ir,181570.296,1545.357,7.925
195,78,195Pt,181568.678,1545.682,7.927
195,79,195Au,181568.394,1544.673,7.921
195,80,195Hg,181569.453,1542.32,7.909
195,81,195Tl,181571.787,1538.693,7.891
195,82,195Pb,181575.717,1533.47,7.864
195,83,195Bi,181580.896,1526.997,7.831
195,84,195Po,181587.339,1519.261,7.791
195,85,195At,181594.422,1510.885,7.748
195,86,195Rn,181602.457,1501.556,7.7
196,76,196Os,182505.711,1550.801,7.912
196,77,196Ir,182504.04,1551.178,7.914
196,78,196Pt,182500.321,1553.604,7.927
196,79,196Au,182501.318,1551.314,7.915
196,80,196Hg,182500.12,1551.218,7.914
196,81,196Tl,182503.939,1546.106,7.888
196,82,196Pb,182505.564,1543.188,7.873
196,83,196Bi,182512.405,1535.053,7.832
196,84,196Po,182516.429,1529.736,7.805
196,85,196At,182525.472,1519.4,7.752
196,86,196Rn,182530.851,1512.727,7.718
197,77,197Ir,183436.706,1558.078,7.909
197,78,197Pt,183434.04,1559.45,7.916
197,79,197Au,183432.811,1559.386,7.916
197,80,197Hg,183432.9,1558.004,7.909
197,81,197Tl,183434.589,1555.021,7.894
197,82,197Pb,183437.67,1550.647,7.871
197,83,197Bi,183442.22,1544.804,7.842
197,84,197Po,183448.037,1537.693,7.806
197,85,197At,183454.546,1529.891,7.766
197,86,197Rn,183461.855,1521.289,7.722
198,78,198Pt,184366.049,1567.007,7.914
198,79,198Au,184365.864,1565.899,7.909
198,80,198Hg,184363.98,1566.489,7.912
198,81,198Tl,184366.934,1562.242,7.89
198,82,198Pb,184367.863,1560.019,7.879
198,83,198Bi,184374.033,1552.556,7.841
198,84,198Po,184377.418,1547.878,7.818
198,85,198At,184385.71,1538.292,7.769
198,86,198Rn,184390.638,1532.071,7.738
199,77,199Ir,185303.562,1570.352,7.891
199,78,199Pt,185300.059,1572.562,7.902
199,79,199Au,185297.845,1573.483,7.907
199,80,199Hg,185296.882,1573.153,7.905
199,81,199Tl,185297.859,1570.882,7.894
199,82,199Pb,185300.179,1567.269,7.876
199,83,199Bi,185304.098,1562.056,7.85
199,84,199Po,185309.17,1555.691,7.818
199,85,199At,185315.054,1548.514,7.781
199,86,199Rn,185321.843,1540.431,7.741
199,87,199Fr,185329.612,1531.369,7.695
200,78,200Pt,186232.342,1579.844,7.899
200,79,200Au,186231.164,1579.729,7.899
200,80,200Hg,186228.419,1581.181,7.906
200,81,200Tl,186230.364,1577.942,7.89
200,82,200Pb,186230.658,1576.355,7.882
200,83,200Bi,186236.02,1569.7,7.848
200,84,200Po,186238.925,1565.501,7.828
200,85,200At,186246.38,1556.753,7.784
200,86,200Rn,186250.851,1550.989,7.755
200,87,200Fr,186260.466,1540.08,7.7
201,78,201Pt,187166.699,1585.053,7.886
201,79,201Au,187163.527,1586.931,7.895
201,80,201Hg,187161.753,1587.411,7.898
201,81,201Tl,187161.724,1586.148,7.891
201,82,201Pb,187163.137,1583.441,7.878
201,83,201Bi,187166.468,1578.817,7.855
201,84,201Po,187170.848,1573.144,7.827
201,85,201At,187176.073,1566.625,7.794
201,86,201Rn,187182.281,1559.124,7.757
201,87,201Fr,187189.44,1550.672,7.715
202,79,202Au,188097.022,1593.002,7.886
202,80,202Hg,188093.565,1595.165,7.897
202,81,202Tl,188094.417,1593.02,7.886
202,82,202Pb,188093.955,1592.189,7.882
202,83,202Bi,188098.645,1586.205,7.853
202,84,202Po,188100.943,1582.614,7.835
202,85,202At,188107.765,1574.499,7.795
202,86,202Rn,188111.57,1569.4,7.769
202,87,202Fr,188120.474,1559.203,7.719
202,88,202Ra,188126.033,1552.351,7.685
203,79,203Au,189029.773,1599.816,7.881
203,80,203Hg,189027.136,1601.16,7.887
203,81,203Tl,189026.133,1600.87,7.886
203,82,203Pb,189026.596,1599.113,7.877
203,83,203Bi,189029.332,1595.084,7.858
203,84,203Po,189033.054,1590.068,7.833
203,85,203At,189037.687,1584.142,7.804
203,86,203Rn,189043.179,1577.357,7.77
203,87,203Fr,189049.689,1569.553,7.732
203,88,203Ra,189056.957,1560.992,7.69
204,80,204Hg,189959.209,1608.652,7.886
204,81,204Tl,189959.042,1607.526,7.88
204,82,204Pb,189957.767,1607.507,7.88
204,83,204Bi,189961.699,1602.282,7.854
204,84,204Po,189963.521,1599.167,7.839
204,85,204At,189969.469,1591.925,7.804
204,86,204Rn,189972.849,1587.252,7.781
204,87,204Fr,189980.93,1577.878,7.735
204,88,204Ra,189985.865,1571.649,7.704
205,80,205Hg,190893.106,1614.32,7.875
205,81,205Tl,190891.061,1615.072,7.878
205,82,205Pb,190890.601,1614.239,7.874
205,83,205Bi,190892.798,1610.748,7.857
205,84,205Po,190895.84,1606.413,7.836
205,85,205At,190899.866,1601.094,7.81
205,86,205Rn,190904.617,1595.049,7.781
205,87,205Fr,190910.506,1587.867,7.746
205,88,205Ra,190917.145,1579.935,7.707
206,80,206Hg,191825.941,1621.051,7.869
206,81,206Tl,191824.123,1621.575,7.872
206,82,206Pb,191822.079,1622.325,7.875
206,83,206Bi,191825.326,1617.786,7.853
206,84,206Po,191826.661,1615.157,7.841
